"_id","timestamp._bsontype","timestamp.low_","timestamp.high_","last_config.daytrader-config-app.CONMGR1_MAX_POOL_SIZE","last_config.daytrader-config-app.CONMGR3_MAX_POOL_SIZE","last_config.daytrader-config-app.CONMGR4_MAX_POOL_SIZE","last_config.daytrader-config-app.HTTP_MAX_KEEP_ALIVE_REQUESTS","last_config.daytrader-config-app.HTTP_PERSIST_TIMEOUT","last_config.daytrader-config-app.ORDER_PROCESSING_MODE","last_config.daytrader-config-app.RUNTIME_MODE","last_config.daytrader-config-jvm.-Xtune:virtualized","last_config.daytrader-config-jvm.container_support","last_config.daytrader-config-jvm.gc","last_config.daytrader-service.cpu","last_config.daytrader-service.memory","production_metric.name","production_metric.cpu","production_metric.memory","production_metric.throughput","production_metric.process_time","production_metric.in_out","production_metric.errors","production_metric.objective","config_to_eval.daytrader-config-app.CONMGR1_MAX_POOL_SIZE","config_to_eval.daytrader-config-app.CONMGR3_MAX_POOL_SIZE","config_to_eval.daytrader-config-app.CONMGR4_MAX_POOL_SIZE","config_to_eval.daytrader-config-app.HTTP_MAX_KEEP_ALIVE_REQUESTS","config_to_eval.daytrader-config-app.HTTP_PERSIST_TIMEOUT","config_to_eval.daytrader-config-app.ORDER_PROCESSING_MODE","config_to_eval.daytrader-config-app.RUNTIME_MODE","config_to_eval.daytrader-config-jvm.-Xtune:virtualized","config_to_eval.daytrader-config-jvm.container_support","config_to_eval.daytrader-config-jvm.gc","config_to_eval.daytrader-service.cpu","config_to_eval.daytrader-service.memory","training_metric.name","training_metric.cpu","training_metric.memory","training_metric.throughput","training_metric.process_time","training_metric.in_out","training_metric.errors","training_metric.objective","production_workload.path","production_workload.value","training_workload.path","training_workload.value","best_loss","best_config.daytrader-config-app.CONMGR1_MAX_POOL_SIZE","best_config.daytrader-config-app.CONMGR3_MAX_POOL_SIZE","best_config.daytrader-config-app.CONMGR4_MAX_POOL_SIZE","best_config.daytrader-config-app.HTTP_MAX_KEEP_ALIVE_REQUESTS","best_config.daytrader-config-app.HTTP_PERSIST_TIMEOUT","best_config.daytrader-config-app.ORDER_PROCESSING_MODE","best_config.daytrader-config-app.RUNTIME_MODE","best_config.daytrader-config-jvm.-Xtune:virtualized","best_config.daytrader-config-jvm.container_support","best_config.daytrader-config-jvm.gc","best_config.daytrader-service.cpu","best_config.daytrader-service.memory","update_production.daytrader-config-app.CONMGR1_MAX_POOL_SIZE","update_production.daytrader-config-app.CONMGR3_MAX_POOL_SIZE","update_production.daytrader-config-app.CONMGR4_MAX_POOL_SIZE","update_production.daytrader-config-app.HTTP_MAX_KEEP_ALIVE_REQUESTS","update_production.daytrader-config-app.HTTP_PERSIST_TIMEOUT","update_production.daytrader-config-app.ORDER_PROCESSING_MODE","update_production.daytrader-config-app.RUNTIME_MODE","update_production.daytrader-config-jvm.-Xtune:virtualized","update_production.daytrader-config-jvm.container_support","update_production.daytrader-config-jvm.gc","update_production.daytrader-service.cpu","update_production.daytrader-service.memory","tuned","update_production","training_workload"
"ObjectId(""5f6e36f15bef9aa3ce78347b"")","Long",-1727772878,372775491,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",2.077536667674781,565518336,2283.3866666666663,0.047042619017783546,null,0,-623.4879582881388,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-servicesmarttuning",4.410632568375598,436834304,4104.133333333333,0.02211444456877538,null,0,-1413.2781804434467,"[""/daytrader/config?action=buildDB"",""/daytrader/rest/quotes"",""/health""]","[0,0.9999124108050031,0.0000875891949969052]","[""/daytrader/rest/quotes"",""/health""]","[0.9999512686397454,0.00004873136025470258]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,true,,
"ObjectId(""5f6e38235bef9aa3ce78347c"")","Long",-165964806,372775562,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",4.5247503036116035,414613504,4214.722222222223,0.01836539513930027,null,0,-1524.1374447285152,"75","75","50","25","30","0","1",true,"-XX:+UseContainerSupport","-Xgcpolicy:optavgpause",8,1024,"daytrader-servicesmarttuning",3.0988219031325186,374218752,311.81333333333333,0.38788891867160497,null,0,-126.26335767185365,"[""/daytrader/rest/quotes"",""/health""]","[0.9999525472879457,0.00004745271205430699]","[""/daytrader/rest/quotes"",""/health""]","[0.9993585906097666,0.000641409390233473]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,false,"{}",
"ObjectId(""5f6e39555bef9aa3ce78347d"")","Long",1167878467,372775634,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",0.11227002845231931,430563328,64.34666666666666,1.4413360422531827,null,0,-23.40725139045979,"100","75","125","100","20","1","1",true,"-XX:-UseContainerSupport","-Xgcpolicy:optthruput",16,8192,"daytrader-servicesmarttuning",0.2558275975630689,394629120,53.74444444444445,1.8397099216754345,null,0,-21.296159881721913,"[""/daytrader/rest/quotes"",""/health""]","[0.9968918358889349,0.0031081641110650643]","[""/daytrader/rest/quotes"",""/health""]","[0.9962786851354145,0.003721314864585487]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,false,"{}",
"ObjectId(""5f6e3a885bef9aa3ce78347e"")","Long",-1722180054,372775705,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",0.09261255856768297,439992320,56.72222222222223,1.5130324386125464,null,0,-20.195797779770146,"75","125","50","100","45","1","2",false,"-XX:-UseContainerSupport","-Xgcpolicy:optavgpause",16,512,"daytrader-servicesmarttuning",0.1371673463106214,344702976,59.800000000000004,1.8718867041114662,null,0,-27.15613885148808,"[""/daytrader/rest/quotes"",""/health""]","[0.9964740450538687,0.0035259549461312436]","[""/daytrader/rest/quotes"",""/health""]","[0.9968413229282794,0.0031586770717205496]",-1413.2781804434467,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,true,"{}",
"ObjectId(""5f6e3bba5bef9aa3ce78347f"")","Long",-487079994,372775776,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",0.15017393203104584,445120512,98.71111111111112,1.121689679577658,null,0,-34.72245547363622,"75","50","150","200","30","2","0",false,"-XX:-UseContainerSupport","-Xgcpolicy:optavgpause",8,8192,"daytrader-servicesmarttuning",0.23809638908464023,456593408,135.22222222222223,0.6779329557986052,null,0,-46.3346311489168,"[""/daytrader/rest/quotes"",""/health""]","[0.9979738856371003,0.002026114362899595]","[""/daytrader/rest/quotes"",""/health""]","[0.998520953163517,0.0014790468364831552]",-1413.2781804434467,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,true,"{}",
"ObjectId(""5f6e3cec5bef9aa3ce783480"")","Long",567163460,372775848,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",0.09098300870228142,445300736,54.07777777777778,2.678555416987286,null,0,-19.025212801397302,"150","125","175","25","40","0","1",true,"-XX:+UseContainerSupport","-Xgcpolicy:metronome",2,512,"daytrader-servicesmarttuning",0.8601710630253877,321249280,0.1,28.711511341494454,null,0.95,-0.048266272072010216,"[""/daytrader/rest/quotes"",""/health""]","[0.9963016231764947,0.0036983768235052394]","[""/daytrader/rest/quotes"",""/health""]","[0.9777777777777777,0.022222222222222223]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,false,"{}",
"ObjectId(""5f6e3e1e5bef9aa3ce783481"")","Long",-2143198482,372775919,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",0.7272157796200844,451276800,622.6222222222223,0.17282999616929667,null,0,-214.87813339572222,"100","50","75","75","35","1","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:metronome",2,8192,"daytrader-servicesmarttuning",1.2285402389306914,2291306496,936.3222222222224,0.0982588479808596,null,0,-63.929702514967026,"[""/daytrader/rest/quotes"",""/health""]","[0.9996787779284745,0.0003212220715254479]","[""/daytrader/rest/quotes"",""/health""]","[0.9997863983196668,0.00021360168033321858]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,false,"{}",
"ObjectId(""5f6e3f4d5bef9aa3ce783482"")","Long",-559724766,372775989,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",4.613927005489429,468877312,4271.72,0.01614051481524747,null,0,-1371.8759970695498,"50","125","150","150","40","0","1",true,"-XX:-UseContainerSupport","-Xgcpolicy:metronome",4,2048,"daytrader-servicesmarttuning",1.6149530380286847,843448320,202.01333333333332,0.6403650702435589,null,0,-37.25493872904768,"[""/daytrader/rest/quotes"",""/health""]","[0.9999531804519023,0.000046819548097721763]","[""/daytrader/rest/quotes"",""/health""]","[0.9990099663388555,0.000990033661144479]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,false,"{}",
"ObjectId(""5f6e407b5bef9aa3ce783483"")","Long",1046364111,372776060,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",4.082427358957446,473526272,4322.177777777778,0.01721397767380305,null,0,-1381.2351995643999,"75","50","200","150","20","0","0",true,"-XX:-UseContainerSupport","-Xgcpolicy:gencon",16,2048,"daytrader-servicesmarttuning",1.1935378000876666,523530240,858.48,0.14535033244755807,null,0,-254.67802874811417,"[""/daytrader/rest/quotes"",""/health""]","[0.9999537270306121,0.00004627296938786003]","[""/daytrader/rest/quotes"",""/health""]","[0.999767030099711,0.0002329699002888827]",-1413.2781804434467,200,100,75,125,35,"0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,false,"{}",
"ObjectId(""5f6e41a95bef9aa3ce783484"")","Long",-1698932104,372776130,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,"daytrader-service",0.08684045903899773,473227264,55.966666666666676,1.7144339311888641,null,0,-18.529412994639486,"125","125","150","150","20","2","1",true,"-XX:-UseContainerSupport","-Xgcpolicy:optthruput",8,2048,"daytrader-servicesmarttuning",0.23959060946998106,428228608,57.73333333333334,1.7853078585796731,null,0,-21.089637624091285,"[""/daytrader/rest/quotes"",""/health""]","[0.9964264443120905,0.0035735556879094694]","[""/health"",""/daytrader/rest/quotes""]","[0.0034642032332563508,0.9965357967667436]",-1413.2781804434467,"200","100","75","125","35","0","0",false,"-XX:+UseContainerSupport","-Xgcpolicy:optthruput",8,8192,,,,,,,,,,,,,true,"{}",
